#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
      1      4.03e+03    3.15e+03      6.62e-01    8.88e-01      1.27e+02    9.96e+01    1.0e-03
    200      1.82e+03    2.43e+03      1.44e+01    2.32e+01      6.20e+01    8.31e+01    8.6e-04
    400      1.41e+03    1.02e+03      1.78e+01    2.06e+01      5.34e+01    3.84e+01    7.0e-04
    600      1.02e+03    1.40e+03      6.66e+00    2.29e+01      4.26e+01    5.87e+01    5.7e-04
    800      1.09e+03    9.93e+02      1.34e+01    2.16e+01      5.06e+01    4.60e+01    4.6e-04
   1000      1.00e+03    9.27e+02      1.06e+01    7.90e+00      5.16e+01    4.77e+01    3.8e-04
   1200      1.18e+03    1.08e+03      1.57e+01    1.38e+01      6.73e+01    6.17e+01    3.1e-04
   1400      7.41e+02    7.33e+02      1.23e+01    3.65e+01      4.67e+01    4.56e+01    2.5e-04
   1600      1.04e+03    5.14e+02      6.97e+00    3.62e+01      7.25e+01    3.48e+01    2.0e-04
   1800      5.56e+02    6.74e+02      3.82e+01    1.92e+01      4.17e+01    5.18e+01    1.7e-04
   2000      6.72e+02    9.69e+02      3.10e+01    2.75e+01      5.67e+01    8.26e+01    1.4e-04
   2200      5.25e+02    8.93e+02      1.17e+01    5.58e+01      4.97e+01    8.24e+01    1.1e-04
   2400      5.17e+02    5.30e+02      1.10e+01    1.32e+01      5.41e+01    5.54e+01    9.0e-05
   2600      5.03e+02    3.73e+02      2.94e+01    1.56e+01      5.69e+01    4.28e+01    7.3e-05
   2800      4.12e+02    6.76e+02      1.98e+01    1.65e+01      5.21e+01    8.65e+01    6.0e-05
   3000      6.74e+02    2.59e+02      3.64e+01    3.79e+01      9.37e+01    3.03e+01    4.9e-05
   3200      3.44e+02    3.36e+02      3.03e+00    1.22e+01      5.40e+01    5.22e+01    4.0e-05
   3400      4.06e+02    3.73e+02      4.15e+01    2.83e+01      6.46e+01    6.19e+01    3.2e-05
   3600      3.74e+02    3.10e+02      1.15e+01    3.77e+00      7.12e+01    5.93e+01    2.6e-05
   3800      3.29e+02    2.84e+02      1.24e+01    3.00e+01      6.88e+01    5.46e+01    2.1e-05
   4000      2.12e+02    2.30e+02      3.06e+01    1.37e+01      4.05e+01    5.20e+01    1.7e-05
   4200      1.78e+02    1.98e+02      3.59e+01    3.46e+01      2.74e+01    3.68e+01    1.4e-05
   4400      1.98e+02    1.84e+02      7.52e+00    3.32e+01      5.53e+01    3.61e+01    1.2e-05
   4600      1.61e+02    2.10e+02      2.36e+01    2.68e+01      4.05e+01    5.59e+01    9.4e-06
   4800      2.37e+02    1.89e+02      3.41e+01    3.54e+01      6.61e+01    4.27e+01    7.7e-06
   5000      1.76e+02    8.81e+01      2.08e+01    1.66e+01      5.78e+01    2.16e+01    6.2e-06
   5200      1.39e+02    1.81e+02      2.28e+01    3.63e+01      4.24e+01    4.43e+01    5.1e-06
   5400      1.69e+02    2.40e+02      2.66e+01    1.24e+01      5.81e+01    1.04e+02    4.1e-06
   5600      1.57e+02    1.24e+02      2.94e+01    1.39e+01      4.99e+01    5.32e+01    3.4e-06
   5800      1.19e+02    1.49e+02      1.41e+01    3.24e+01      5.42e+01    3.86e+01    2.7e-06
   6000      1.17e+02    1.59e+02      6.41e+00    3.19e+01      6.34e+01    5.26e+01    2.2e-06
   6200      1.25e+02    1.52e+02      2.68e+01    3.21e+01      3.87e+01    4.84e+01    1.8e-06
   6400      1.41e+02    1.17e+02      2.35e+01    1.96e+01      6.69e+01    5.50e+01    1.5e-06
   6600      1.42e+02    1.21e+02      2.45e+01    2.04e+01      6.95e+01    6.02e+01    1.2e-06
   6800      1.06e+02    1.16e+02      1.49e+01    1.39e+01      6.21e+01    7.23e+01    9.8e-07
   7000      1.27e+02    1.28e+02      2.38e+01    2.93e+01      6.24e+01    3.89e+01    8.0e-07
   7200      1.23e+02    5.14e+01      1.27e+01    4.54e+00      8.67e+01    3.74e+01    6.5e-07
   7400      8.98e+01    9.65e+01      1.59e+01    1.87e+01      5.13e+01    4.92e+01    5.3e-07
   7600      1.30e+02    1.68e+02      2.30e+01    3.63e+01      7.65e+01    7.17e+01    4.3e-07
   7800      1.09e+02    1.45e+02      2.38e+01    3.25e+01      4.53e+01    5.59e+01    3.5e-07
   8000      1.21e+02    8.88e+01      2.88e+01    1.96e+01      3.17e+01    3.68e+01    2.9e-07
   8200      1.16e+02    6.93e+01      2.75e+01    1.19e+01      3.50e+01    4.53e+01    2.3e-07
   8400      1.30e+02    5.96e+01      2.86e+01    1.11e+01      5.69e+01    3.64e+01    1.9e-07
   8600      5.74e+01    1.50e+02      8.03e+00    3.56e+01      4.43e+01    4.43e+01    1.6e-07
   8800      1.41e+02    8.93e+01      3.30e+01    1.77e+01      4.63e+01    5.11e+01    1.3e-07
   9000      9.60e+01    1.44e+02      2.25e+01    3.44e+01      3.15e+01    4.03e+01    1.0e-07
   9200      1.15e+02    9.92e+01      2.35e+01    2.27e+01      6.41e+01    3.86e+01    8.4e-08
   9400      1.31e+02    1.03e+02      2.88e+01    2.16e+01      6.01e+01    5.45e+01    6.8e-08
   9600      1.46e+02    1.13e+02      3.57e+01    2.46e+01      2.91e+01    5.47e+01    5.6e-08
   9800      7.53e+01    1.09e+02      1.54e+01    2.47e+01      4.21e+01    4.60e+01    4.5e-08
  10000      1.17e+02    5.97e+01      2.66e+01    9.33e+00      4.91e+01    4.57e+01    3.7e-08
